Text_ID,Product_Type,processed_Product_Description,Sentiment
3491,6,threw together keep ipad attempt keep hour stuff weekend sxsw link,3
3172,9,platform concertgoers launch android app time sxsw link via mention music event liveshows,2
7835,9,itunes free sxsw sampler featuring selection 23 year performer link,2
6954,6,rt mention win awesome ipad quibids custom mention case catch sxsw wearing openbeta vip badge,3
6621,2,rt mention rt mention lose hour tonight sxsw attendee blame microsoft apple get credit fixing christmas,3
9002,9,1st injury sxsw bicycle stupid concrete ouch link fortunately still able type iphone schedule,2
6734,7,rt mention beluga iphone app highlight sxsw excellent way coordinate sxsw4japan relief effort,3
1738,7,bored sxsw try iphone app link,3
1553,9,mention mention mention thanks making great product great making sxsw party podcasts link,2
2730,3,third time charm gt gt gt google launch new social network sxsw cnet news link,3
4742,9,ten percent crowd quot designing ipad interface quot already ipad2 sxsw,2
7643,9,aight wed thurs list sxsw possibility link hope see twitter bud atx week,2
7259,9,anyone know android devs sxsw let know startup need help,2
2955,9,ha rt mention rumor apple opening temporary store downtown austin sxsw amp ipad 2 launch link,2
8014,2,classiest fascist company kara swisher sxsw apple,1
5373,6,rt mention abt surprise customer waiting line apple store austin ipad 2 mention sxsw cbatsxsw awesome,3
6708,2,rt mention temp apple store 6th st austin sxsw closed night quot stuff say austin cop barring door,1
3000,6,rt enter contest maybe win ipad 2 mention sxsw,3
2066,9,sxsw apptastic link android apps developer io iphone smartphones,2
4403,9,mention mention google place mention one check need aggregator sxsw sxswedu,2
6077,8,rt mention use ipad 2 someone give otherwise iphone actually task sxsw,3
5884,9,rt mention google launch major new social network called circle possibly today link sxsw,2
8807,2,love sxsw alt universe everyone us apple product mention fastest way reach someone,3
4713,9,google announces sxsw application link ireport wssxsw sxsw scrm sm marketing,2
2679,6,hope may someday keynote swsx rt mention bored keynote sxsw ipad link,3
8513,0,grab mention betainvites sxsw mention new android camera raise valley player mention,3
3374,9,meet guy bought first ipad 2 sxsw apple link via mention,2
6245,6,rt mention le 2 hour announce detail ipad 2 giveaway sxsw sxswi,3
4080,5,love google analytics thanks follower sxsw took time check new post,3
9019,9,come party mention google tonight sxsw link band food art ice cream nifty interactive map,2
7846,9,google collecting data type request receiving government globally privacybootcamp sxsw,2
8030,2,forget disneyland apple store austin happiest place earth sxsw,3
5853,5,rt mention google preview updated blogger interface sxsw link,3
1669,9,sxsw quot shape city real time data quot google developer encourages audience google quot mapping japan quot,2
8338,9,mention takin galaxys4g 4 test drive mention sxsw n c tmobile 4g hold packed downtown atx austintx samsunggalaxys android,2
8449,9,enjoying resurgence mention austin convention center today mention fam showing new iphone game,2
2809,9,help decide panel go next future social photography google doodle burning man beyond sxsw,2
1549,9,mention mention mention google launch major new social network called circle sxsw,2
5017,9,someone going ask bing copying google search result qagb sxsw seo,2
2409,3,google recreated code doodle original bug included sxsw googledoodles,2
81,7,nice mention iphone app behaving today crash yesterday ridiculous sxsw,3
7233,6,checking ipad 2 mention sxsw store mention apple store sxsw 17 others link,3
7619,9,apple store downtown austin open til midnight sxsw,2
5263,9,rt mention sxsw mention rock casbah mention mention partylikeits1986 digital right link,2
2246,9,expect mob scene w 6th st amp congress link sxsw ipad2,2
5550,2,rt mention even begin apple winsåê sxsw link gt gon na get sum via mention,3
1447,7,bout time rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link,3
1382,9,tristan h apture fast amp iterative w news content mean google find first sxsw hacknews drumbeat mojo,2
3743,9,added linkedin hootsuite mobile sxsw update iphone blackberry amp android link,2
3671,9,want win ticket 1 sxsw party rule simple link android unite android news mass android,2
1075,2,ok seen two impressive line since sxsw one apple store yesterday amp mention party cc mention,3
4891,6,two ipad observation sxsw vast majority people using seen lot 2 today look nice appletakingoverworld,3
7965,9,mention say feel sexier us mention product,2
963,6,usa today ipad make good use digital shortcut still looking like newspaper mention tapworthy sxsw,3
8815,9,took day unplugged visit family anyone sxsw highlight google reader bursting seam,2
904,5,compiling sxsw list one google doc taking lot longer thought many party many good musician,1
6856,3,mention v mention v mention sxsw thing heating quot google offer reward amp title quot link lb,3
7847,6,ipad 2 purchased 90 sunny tan 4square far good sxsw,3
3180,5,grateful earplug right sxsw,3
140,9,headed sxsw want contact info link turn iphone link,2
3708,9,line forming popup apple store sign apple yet sxsw link,2
1370,9,mention gt rt mention new ubersocial iphone app store includes uberguide sxsw cont link,3
8231,7,smart mention hollergram ipad app sxsw link may leave vuvuzela home,3
2142,9,google heat map global search sxsw hotpot link,2
6659,6,rt mention slide sxsw talk quot ipad design headache quot link tapworthy really interesting designer well,1
4545,6,anyone know mention store sxsw still ipad 2 stock,3
317,7,arrived sxsw mention issue resolved dying use iphone app cant login rt mention mention,2
1578,9,watching mention covering ipad 2 launch live apple store austin sxsw link,2
5239,9,rt mention ipad2 live unboxing front sxsw apple store video link,2
177,0,winning picture android google sxsw link,3
6296,3,rt mention marissa mayer google connect digital amp physical world mobile link sxsw,3
937,9,mention mention quot getting feedback sxsw group amp pushed android fix grilled cheese stand quot,2
751,9,google launch social network sxsw today,2
772,9,google launch major new social network called circle possibly today link circle sxsw,2
1714,9,engaging sxsw filter mention twitter app youkidshavefun,2
7068,9,apple open temporary store sxsw ipad 2 launch link via mention,2
1133,9,check mention route link rsvp gt http sxswi sxsw,2
3960,7,mention saw lax heading sxsw wife iphone ipad download app freespeech mention,3
2596,9,white ipad2 64gig wifi available austin sxsw apple popup store right wait,3
5007,9,rumor sxsw could true google launching secret new social network called quot circle quot link,2
4641,9,ipad lounge recharge coffee h2o ipad art daily sxsw 106 e 8th congress åç austin detail link,2
686,6,mention ipad 2 sold 70 went new buyer report link sxsw socialmedia tech ipad2,3
1955,9,dl calyp app get calyp casa sxsw free mobile app available itunes app store amp android market see u,2
4662,9,apple opening store austin sxsw link via mention,2
2295,9,play gun bros xperia play google league event parking lot teamandroid event xperiaplay sunday sxsw mention,2
641,0,knew plied mention beer stogy last night weasel way team android party tonight success sxsw,3
7335,6,put ipad idiot smcomedyfyeah sxsw,1
8150,9,sxsw folk looking ipad 2 apple store still stock colleague picked one protip,2
8549,9,contest juan winning last mention commuter case iphone 4 2 50 gift card left cbatsxsw sxsw,2
8349,5,someone started austin mention group google group sxsw great idea,3
8895,9,mention guy kawasaki former apple evangelist wanw sxsw,2
8676,6,kind ipad release line longer party line saw sxsw last night sheeple,3
5514,9,rt mention sxsw forget come privacybootcamp startup mention mention mention aclu acc 9abc,2
8614,9,stuck inthat long line apple store come check u next block across driskill apple sxsw wam,2
8701,9,record sxsw experience iphone link,2
854,9,radio looking new band radio show listen link link nowplaying newmusic sxsw pls rt,2
500,9,rt find hottest spot mention mention hot spot sxsw app wp7 link iphone link,3
2024,9,hello gigantic line outside google v bing seo session sxsw sxswi,2
3475,9,mention hey line sxsw apple,2
1258,9,listening official sxsw mixtape link,2
246,9,gsd amp google sitting tree link sxsw gsdm,2
6391,9,rt mention 200 lined sxsw apple pop store,2
7527,6,softlayer blog softlayer sxsw server challenge video link tried yet ipad 2 could,3
2271,9,success blah panel found open outlet charge old ipad sxsw fb,2
768,9,google launch major new social network called circle possibly today updated sxsw link,2
7159,3,looking forward hearing google mention present today sxsw,3
1668,6,mention quot omg gon na miss 2 panel sxsw standing line 1 panel playing new ipad worth pony quot,3
8787,9,interview w marissa mayer sxsw google working larry different working eric link,2
3062,8,wow shakespeare pub 6th delete button iphone video camera sxsw,3
998,9,sxsw pepsi max marketing street team shown popup apple store line handing drink amp tshirts link,2
6019,9,rt mention hiring marketer designer creatives social medium pro come see aquent booth 1415 sxsw trade show might win ipad 2,2
8415,9,mention sxsw folk pretty bunch think android tablet hardcore linux nerd let know,2
5282,9,rt mention sxsw line 100 outside apple store sixth amp congress,2
8760,2,genius move apple open temp store downtown austin sxsw link mention ipad2,3
5577,3,rt mention blogger due update google take action showcase new design sxsw link,3
234,6,shout lady holding ipad 2 free sxsw show take photo sipping free beer mention,3
6111,9,rt mention sxsw meet author host android devs sat hilton room 615ab,2
2229,5,marissa mayer google map better customer service quicker response sxsw fh,1
6258,9,rt mention listening mention discus new interaction paradigm designing ipad uxdes sxsw,2
1534,9,sure link double rainbow kind day right google sxsw,2
3455,9,mention heading austin sxsw mention austin guide iphone free limited time link lp travel,2
7656,9,mention recount batshit insanity doubling quot creativity quot ensures quot suck quot google room groupon sxsw,2
1390,8,midday iphone outlet blocked immobile booth serf purpose taunt sxsw link,1
2320,6,sxsw macallan formula successful day sxsw good session ipad glass macallan single malt link,3
5524,2,rt mention sxsw apple school marketing expert link via mention sxsw apple marketing,3
3796,6,hey mention roll tractor trailer 2 full ipads sxsw bet would sell entire inventory justsaying,3
2835,9,shocked see google showcasing blogger sxsw thought completely forgot service,3
347,9,anyone attending google amp aclu party mention sxsw could plz picture thanks sxsw,2
4440,6,waiting line ipad said may left crossing finger sxsw,3
6209,9,rt mention time sxsw mention nfc enabled google place door sticker link,2
6158,9,rt mention ipad thing addition place print mention cut sxsw newsapps panel,2
5500,9,rt mention sxsw conf 1 every 200 people mac ipad including happened pc becoming obsolete,2
7518,9,david carr nyt austin giving drunken interview cnn want app transport around nyc sits ipad sxsw,2
7394,2,damn apple know like even begin apple winsåêsxsw link via mention sxsw,3
7209,3,go without saying google bread going amazing sxsw googlebread,3
2522,9,sxsw tradeshow floor engage interactive wall take part augmented reality 3d enter win ipad,2
4146,9,every outlet bar iphone charger sxsw mention driskill hotel bar 16 others pic link,2
1065,3,google saving user 2 year time gps navigation using alternate route w traffic sxsw,3
5773,1,rt mention get hot latest version whrrl available today android iphone blackberry whrrl blackberry sxsw,3
2984,9,people think rumored quot social networking quot program google called circle late game sxsw,2
7616,9,popup store de gadget da apple sxsw link,2
2306,9,link tc google sxsw marissa mayer 40 google map usage mobile 150 million link,2
5807,5,rt mention google art project like street view except art museum around world incl 7 billion pixel image starry night dang sxsw,3
8357,8,3g sketchy austin sxsw yet mention still work iphone know sure need love,3
888,9,hootsuite mobile sxsw update iphone blackberry amp android link,2
2366,6,official people using ipad 2 take photo look weird sxsw,1
1509,9,ipad2 left apple store sxsw anyone know,2
2802,2,great blog latest news sxsw like opening apple store link sxsw2011 mention,3
6657,2,rt mention shut rt mention rumor apple opening temp store downtown austin sxsw amp ipad 2 launch link,3
1510,9,flipboard next platform iphone ceo mention say sxsw,2
1663,9,wan na 5 6 quot chinese dude bff bring effen iphone charger sxsw,2
7674,2,interesting rt mention apple open shop sxsw link sxsw sxswi popupshop apple,3
7894,7,check link cool app iphone mixing music party sxsw map going next year,3
2552,9,mention iphone price point make even explosion carrier work plan sxsw bolinsxsw,2
5872,5,rt mention google launch major new social network called circle possibly today sxsw link,3
5469,9,rt mention apple set temporary austin store serve horde ipad 2 purchaser sxsw link,2
2579,3,kinda giddy theindustryparty google amp gsdm finally fun come u non swsurrogates sxsw notpouting,3
1425,9,reason 19 keep parakeet employed link keep track lady sxsw link mention,2
8691,2,apple popup store sxsw mention apple store sxsw link photo,2
3514,9,wonder google place hotpot impact usage thing like yelp marissagoogle sxsw,2
5313,9,rt mention sxsw quote day ipad interface design quot relatable quot ipad digital,2
4902,9,google doodle aim bring people together socially promote communal experience sxsw googledoodles,2
7513,3,playing quot people people quot google sxsw party depeche mode ftw,3
5385,7,rt mention awesome free iphone app keeping track friend meeting finding people sxsw link,3
6615,9,rt mention rt mention tweet register exclusive pass event party ipad 2 sxsw liberty free sxswpass,2
7593,9,google circle new social networking platform link new facebook sxsw,2
858,3,lot google effort helping japan many global issue rt mention rt mention wtf sxsw,3
8432,9,line google bing pagerank session crazy sxsw,2
8783,6,porting everything new ipad2 head sxsw sunday syncing 3k song take apple,3
1272,6,attending tv new medium formula success sxsw seeing lot ipad 2 around,3
2093,9,arrived early get prime seat presentation google marissa mayer sxsw,2
3543,9,mention know lightbox android app sxsw hhrs,2
801,9,google launch major new social network called circle possibly today mention link via mention sxsw screenfuture,2
2830,2,walked past supposed apple sxsw temp store downstairs mention apple cult outside taking photo iphones,1
8669,9,google launching secret new social network called quot circle quot sxsw,2
2908,9,night ending fireside pictionary ipad sxsw werdorks,2
3999,3,sound like buzz rebranded inner circle rt mention google launch new social network quot circle quot link sxsw,3
790,9,google launch major new social network called circle possibly today link sxsw quot,2
932,9,droid surprised rt mention spotted sxsw table three people 8 phone ipad macbook gadgetoverload,2
3546,2,tomorrow go back apple store sigh sxsw,1
6310,9,rt mention medium circus guy walk apple popup store sxsw 1st ipad2 austin 6th amp congress link,2
799,9,google launch major new social network called circle possibly today sxsw link sxsw nfusion,2
5341,9,rt mention happy woman day make love fuss link edchat musedchat sxsw sxswi classical newtwitter,2
781,5,google launch major new social network called circle possibly today link sxsw pakistan cwc2011,3
6727,9,rt mention ipad 2 take sxsw video mention link,2
8262,8,get badge find food drink figure mention iphone roaming sxsw unpack priority,1
6437,0,rt mention partying android mention sxsw mention lustre pearl link,3
5303,6,rt mention sxsw ipad store sold everything except 64gig wifi white,1
6280,2,rt mention love mention sxsw quot apple come cool technology one ever heard go conference quot,3
106,3,mention quot google tweet quot new quot think quot mark belinsky 911tweets panel,3
4625,6,interesting tidbit apple designed ipad 2 case designing actual device sxsw,3
5735,9,rt mention notatsxsw sxsw link free download meet nearby pep,2
7124,9,looking cool new iphone twitter app track action sxsw week check link tweetignite,2
5933,9,rt mention google marissa mayer quot mobile phone cursor connects physical digital quot sxsw,2
2515,9,giving added value location based service need battle fatigue google pnid sxsw,2
4108,9,google reveal new social network called circle google facebook twitter sxsw link via mention,2
4582,6,buying 2 new ipad mention geekdate apple sxsw ipad2,3
4725,9,apple open popup shop sxsw link via mention brand value design innovation,2
2460,9,ipad 2 rival stack link bnet biz ipad2 apple sxsw ipad tablet xoom tech laptop pic sale,2
2667,9,someone austin let borrow iphone charger short time heart long time sxsw,2
5801,3,rt mention google quot product gatekeeper quot marissa mayer quot fast fun future quot link ht mention sxsw,3
7801,9,per rumor google may preview big social strategy costume party sxsw yep link cnet,2
1000,9,instagram photo iamtimbaker google 1980 sxsw party mention link,2
7241,9,checking q amp google amp bing website ranking sxsw qagb,2
5765,9,rt mention gearing make splash mention launch quot groupon living quot reward sxsw link,2
7980,6,even security guard popup apple store austin love new ipad sxsw link,3
7642,9,epic one guy waiting line ipad 2 austin sxsw link sxsw ipad ipad2,2
3924,9,finally picture rt mention apple open shop sxsw report link sxsw,2
2964,9,mention seems holding well surprisingly big event sxsw lxh google,2
7158,8,looking forward delicious 4g austin iphone user struggle anything sxsw,1
7006,9,sxsw anyone need iphone cable extra tweet,2
2575,9,one lone dude awaits ipad 2 sxsw store link apple ipad2 sxsw tablet,2
3802,9,use kind model ipad app design give take entice ask mention tapworthy sxsw,2
1399,9,skore gt mention heard apple store downtown austin pic already gowalla link sxsw ipad2,2
8506,9,via mention sxsw 2011 google bing smackdown bloody banality link,2
4056,6,2nd place fandango karaoke 1st prize 1 yr fandango tkts useless canada 2nd prize useful ipad sxsw,3
7568,9,line crazy long sxsw apple store ipad2,2
8414,9,art ipad view daily sxsw free coffee idevice recharging mention åç austin detail link,2
8859,9,mashable talk line taker many spent better part ipad sxsw gadget link,2
2451,6,headed sxsw hear talk integrated social network dynamic team synergy got ipad ready go,3
3900,9,love google said quot want know quot sxsw,2
2399,9,apple congress nice rt mention apple set open popup shop core sxsw action link sxsw apple,2
5915,9,rt mention google launch new social network circle linking u closely peep u connect possibly today mention sxsw,2
2081,9,startup talking captive audience apple store line smart idea sxsw,2
3100,9,ever seen someone pay guy wait line apple device yeah lame sxsw,2
5929,9,rt mention google marissa mayer quot contextual discovery quot using history time search refine result sxsw,2
8827,9,wonder many sold sxsw ipad 2 sold 70 went new buyer report link,2
4633,6,ipad unloaded sxsw popup store awesome link,3
487,6,hey sxsw exhibitor capture booth experience retrollect disc popular disc win ipad 2 link,3
4910,2,speaking sxsw apple store 6th congress would great permanent,3
2203,6,say pretty smart timing apple drop ipad2 right top sxsw nearly anyones talking,3
7093,2,apple opening temporary store downtown austin march 11 accommodate sxsw attendee god fucking smart,3
2932,2,ha rt mention mention sxsw quot apple come cool technology one ever heard go conference quot,3
979,6,apple open shop sxsw link lt concept would spend sxsw waiting ipad2,1
2374,2,pretty excited apple pop store coming sxsw link,3
2402,5,trying 2 convince mention 2 watch launch google social network sxsw know going comedy,1
6369,9,rt mention next sxsw heading designing ipad apps baby boomer wish apps yet,2
4900,5,googledoodle sxsw google doodle simple surface complex intricate underneath,3
4065,9,24 hour later retreat back hotel bushwhacked ringo deathstarr never seen many effect pedal sxsw link,2
257,8,need sxsw ipad iphone laptop dictaphone wow love meet real charged people,3
7939,9,egads guy get ahold like lot men ballroomd crush mention really google sxsw,2
6154,6,rt mention ipad design headache josh clark tapworthy sxsw link,1
5167,2,rt mention quot apple come cool technology one ever heard go conference quot sxsw pseudoretweet,3
6227,9,rt mention kawasaki quot pagemaker saved quot oh day sxsw jwtatl enchantment,2
8586,5,google hotpot new app let people rate guess logical business progression marissagoogle sxsw,3
3123,9,marissameyer google going able get content back sure heard right sxsw,2
7848,7,qrafter better paid free qr code apps scan vcards also download qrcode iphone sxsw,3
4795,9,todo mention q amp google mention amp bing mention ranking sxsw mon link,2
3622,9,wonder get kicked sxsw iphone ipod ipad ianything,2
3211,9,mention fyi past u op met citeren quot mention google launching product sxsw link,2
1987,9,computer droid rt mention agnerd confession using laptop ipad blackberry follow sxsw afar see agchat,2
8446,9,may man sxsw without iphone,2
4606,7,tweeting sxsw pretty non existent today thanks mention iphone app fail hootsuite epic replacement owllove,1
353,9,mention bahrain govt turned google earth result people learned govt turn back sxsw,2
